plot_index,plot_desc,plot_date,plot_lat,plot_long,plot_depth_1,plot_depth_2,plot_depth_3,plot_depth_4,plot_depth_mean,plot_desc,empty,notes,L_count,P_count,A_count,total_BCMs,plot_lat_decimal,plot_long_decimal,dist_to_crest_m,dist_to_channel_m,perc_coral_heads,general_substrate,padina_present,sarg_present,turb_present,hal_present,bcm_index,bcm_species,bcm_substrate,bcm_length
12,north_barrier,11/3/19,17˚29’0.1”S,149˚50’30.0”W,120,135,120,130,126.25,50% DC structs rest sand,n,,0,3,22,25,-17.483361,-149.841667,694,226,50,sand,0,0,0,0,16,a,pad,2
12,north_barrier,11/3/19,17˚29’0.1”S,149˚50’30.0”W,120,135,120,130,126.25,50% DC structs rest sand,n,,0,3,22,25,-17.483361,-149.841667,694,226,50,sand,0,0,0,0,17,a,pad,4
12,north_barrier,11/3/19,17˚29’0.1”S,149˚50’30.0”W,120,135,120,130,126.25,50% DC structs rest sand,n,,0,3,22,25,-17.483361,-149.841667,694,226,50,sand,0,0,0,0,18,a,pad,2
12,north_barrier,11/3/19,17˚29’0.1”S,149˚50’30.0”W,120,135,120,130,126.25,50% DC structs rest sand,n,,0,3,22,25,-17.483361,-149.841667,694,226,50,sand,0,0,0,0,19,a,pad,3
12,north_barrier,11/3/19,17˚29’0.1”S,149˚50’30.0”W,120,135,120,130,126.25,50% DC structs rest sand,n,,0,3,22,25,-17.483361,-149.841667,694,226,50,sand,0,0,0,0,20,a,pad,3
12,north_barrier,11/3/19,17˚29’0.1”S,149˚50’30.0”W,120,135,120,130,126.25,50% DC structs rest sand,n,,0,3,22,25,-17.483361,-149.841667,694,226,50,sand,0,0,0,0,21,a,pad,3
12,north_barrier,11/3/19,17˚29’0.1”S,149˚50’30.0”W,120,135,120,130,126.25,50% DC structs rest sand,n,,0,3,22,25,-17.483361,-149.841667,694,226,50,sand,0,0,0,0,22,a,pad,2
12,north_barrier,11/3/19,17˚29’0.1”S,149˚50’30.0”W,120,135,120,130,126.25,50% DC structs rest sand,n,,0,3,22,25,-17.483361,-149.841667,694,226,50,sand,0,0,0,0,23,p,sand,10
12,north_barrier,11/3/19,17˚29’0.1”S,149˚50’30.0”W,120,135,120,130,126.25,50% DC structs rest sand,n,,0,3,22,25,-17.483361,-149.841667,694,226,50,sand,0,0,0,0,24,p,sand,11
12,north_barrier,11/3/19,17˚29’0.1”S,149˚50’30.0”W,120,135,120,130,126.25,50% DC structs rest sand,n,,0,3,22,25,-17.483361,-149.841667,694,226,50,sand,0,0,0,0,25,p,sand,10
13,north_barrier,11/3/19,17˚28’51.1”S,149˚50’20.4”W,220,270,180,160,207.5,”just turbinaria”,y,,0,0,0,0,-17.480861,-149.839,84,494,0,sand,0,0,1,0,0,,,
14,north_barrier,11/3/19,17˚28’49.9”S,149˚50’29.9”W,160,160,140,120,145,80% dc+ 10% LC+ lots of turb/sarg,n,,4,0,22,26,-17.480528,-149.841639,409,199,90,dc_heads,0,1,1,0,0,,,
14,north_barrier,11/3/19,17˚28’49.9”S,149˚50’29.9”W,160,160,140,120,145,80% dc+ 10% LC+ lots of turb/sarg,n,,4,0,22,26,-17.480528,-149.841639,409,199,90,dc_heads,0,1,1,0,1,l,dc,4
14,north_barrier,11/3/19,17˚28’49.9”S,149˚50’29.9”W,160,160,140,120,145,80% dc+ 10% LC+ lots of turb/sarg,n,,4,0,22,26,-17.480528,-149.841639,409,199,90,dc_heads,0,1,1,0,2,l,dc,3
14,north_barrier,11/3/19,17˚28’49.9”S,149˚50’29.9”W,160,160,140,120,145,80% dc+ 10% LC+ lots of turb/sarg,n,,4,0,22,26,-17.480528,-149.841639,409,199,90,dc_heads,0,1,1,0,3,l,dc,2
14,north_barrier,11/3/19,17˚28’49.9”S,149˚50’29.9”W,160,160,140,120,145,80% dc+ 10% LC+ lots of turb/sarg,n,,4,0,22,26,-17.480528,-149.841639,409,199,90,dc_heads,0,1,1,0,4,l,dc,2
14,north_barrier,11/3/19,17˚28’49.9”S,149˚50’29.9”W,160,160,140,120,145,80% dc+ 10% LC+ lots of turb/sarg,n,,4,0,22,26,-17.480528,-149.841639,409,199,90,dc_heads,0,1,1,0,5,a,sarg,3
14,north_barrier,11/3/19,17˚28’49.9”S,149˚50’29.9”W,160,160,140,120,145,80% dc+ 10% LC+ lots of turb/sarg,n,,4,0,22,26,-17.480528,-149.841639,409,199,90,dc_heads,0,1,1,0,6,a,turb,3
14,north_barrier,11/3/19,17˚28’49.9”S,149˚50’29.9”W,160,160,140,120,145,80% dc+ 10% LC+ lots of turb/sarg,n,,4,0,22,26,-17.480528,-149.841639,409,199,90,dc_heads,0,1,1,0,7,a,turb,3
14,north_barrier,11/3/19,17˚28’49.9”S,149˚50’29.9”W,160,160,140,120,145,80% dc+ 10% LC+ lots of turb/sarg,n,,4,0,22,26,-17.480528,-149.841639,409,199,90,dc_heads,0,1,1,0,8,a,pad,2
14,north_barrier,11/3/19,17˚28’49.9”S,149˚50’29.9”W,160,160,140,120,145,80% dc+ 10% LC+ lots of turb/sarg,n,,4,0,22,26,-17.480528,-149.841639,409,199,90,dc_heads,0,1,1,0,9,a,dc,2
14,north_barrier,11/3/19,17˚28’49.9”S,149˚50’29.9”W,160,160,140,120,145,80% dc+ 10% LC+ lots of turb/sarg,n,,4,0,22,26,-17.480528,-149.841639,409,199,90,dc_heads,0,1,1,0,10,a,dc,2
14,north_barrier,11/3/19,17˚28’49.9”S,149˚50’29.9”W,160,160,140,120,145,80% dc+ 10% LC+ lots of turb/sarg,n,,4,0,22,26,-17.480528,-149.841639,409,199,90,dc_heads,0,1,1,0,11,a,dc,4
14,north_barrier,11/3/19,17˚28’49.9”S,149˚50’29.9”W,160,160,140,120,145,80% dc+ 10% LC+ lots of turb/sarg,n,,4,0,22,26,-17.480528,-149.841639,409,199,90,dc_heads,0,1,1,0,12,a,dc,4
14,north_barrier,11/3/19,17˚28’49.9”S,149˚50’29.9”W,160,160,140,120,145,80% dc+ 10% LC+ lots of turb/sarg,n,,4,0,22,26,-17.480528,-149.841639,409,199,90,dc_heads,0,1,1,0,13,a,dc,2
14,north_barrier,11/3/19,17˚28’49.9”S,149˚50’29.9”W,160,160,140,120,145,80% dc+ 10% LC+ lots of turb/sarg,n,,4,0,22,26,-17.480528,-149.841639,409,199,90,dc_heads,0,1,1,0,14,a,dc,2
